accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
OR532951.1,TRUE,Protoparvovirus,Cmpv-c5,China,Protoparvovirus sp.,feces,non-human,2020,FALSE,FALSE,Grus nigricollis,Avian,China,FALSE,ai,TRUE,FALSE,,
NC_075276.1,TRUE,Parvoviridae,yc-9,China,Parvoviridae sp.,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian,China,FALSE,ai,TRUE,FALSE,,
NC_075279.1,TRUE,Parvoviridae,yc-12,China,Parvoviridae sp.,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian,,FALSE,ai,TRUE,FALSE,,
PP754872.1,TRUE,Aveparvovirus,TUR/2023/ChPV,Turkey,Aveparvovirus galliform1,feces,non-human,2023,FALSE,FALSE,Gallus gallus domesticus,Avian,Turkey,FALSE,ai,TRUE,FALSE,,
KJ173785.1,TRUE,Treisepsilonpapillomavirus,Crozier_2013,"Antarctica: Ross Island, Cape Crozier",Pygoscelis adeliae papillomavirus 1,feces,non-human,Feb-2013,FALSE,FALSE,Pygoscelis adeliae,Avian,"Ross Island, Antarctica",FALSE,ai,TRUE,FALSE,,
MW357859.1,TRUE,Orthoreovirus,A/wild bird/Korea/13/2018,South Korea,Avian orthoreovirus,feces,non-human,02-Apr-2018,FALSE,FALSE,wild bird,Avian,"South Korea, South Korea",TRUE,ai,TRUE,TRUE,S4,
MN657230.1,TRUE,Enterovirus,NGR_2016,Nigeria,Echovirus E11,feces,non-human,2016,FALSE,FALSE,Chlorocebus sclateri,Mammal,"Nigeria, Nigeria",TRUE,ai,TRUE,FALSE,,
OP094643.1,TRUE,Aveparvovirus,JL-21/10,China: Jilin,Red-crowned crane parvovirus,feces,non-human,Oct-2021,FALSE,FALSE,red-crowned crane,Avian,"Jilin, China",FALSE,ai,TRUE,FALSE,,
OR583915.1,TRUE,Chaphamaparvovirus,UTMF1558r2,United Kingdom,Chaphamaparvovirus anseriform 8,feces,non-human,2016,FALSE,FALSE,Cygnus olor,Avian,,FALSE,ai,TRUE,FALSE,,
NC_040603.1,TRUE,Aveparvovirus,yc-7,China,Red-crowned crane parvovirus,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian,China,FALSE,ai,TRUE,FALSE,,
NC_024150.1,TRUE,Mastadenovirus,Zc11-030,USA,California sea lion adenovirus 1,feces,non-human,29-May-2011,FALSE,FALSE,Zalophus californianus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
OP377084.1,TRUE,Siadenovirus,OBP/FE1/02/2021,Australia,Psittacine siadenovirus F,feces,non-human,25-Jan-2004,FALSE,FALSE,Neophema chrysogaster,Avian,"null, Australia",TRUE,ai,TRUE,FALSE,,
MN543742.1,TRUE,Seadornavirus,KDV/21164-6/M.dau/DK/2015,Denmark: Moensted,Kadipiro virus,feces,non-human,Nov-2015,FALSE,FALSE,Myotis daubentonii,Mammal,"Moensted, Denmark",FALSE,ai,TRUE,TRUE,2,
MZ375120.1,TRUE,Parvoviridae,2PE-NS1-1,China,Parvoviridae sp.,feces,non-human,2020,FALSE,FALSE,Phrynocephalus erythrurus,Reptile,,FALSE,ai,TRUE,FALSE,,
KY645497.1,TRUE,Parechovirus,falcon/HA18-080/2014/HUN,Hungary,parechovirus E1,feces,non-human,Jun-2014,FALSE,FALSE,Falco vespertinus,Avian,Hungary,TRUE,ai,TRUE,FALSE,,
ON811729.1,TRUE,Flaviviridae,TIGMIC_28,China:Inner_Mongolia,Flaviviridae sp.,field -- flagging at various sites,non-human,2018,FALSE,FALSE,Dermacentor silvarum,Insect,"Inner_Mongolia, China",FALSE,ai,TRUE,FALSE,,
ON812557.1,TRUE,Rhabdoviridae,TIGMIC_6,China:Yanbian,Rhabdoviridae sp.,field -- flagging at various sites,non-human,2019,FALSE,FALSE,Haemaphysalis japonica,Insect,"Yanbian, China",TRUE,ai,TRUE,FALSE,,
ON812558.1,TRUE,Rhabdoviridae,TIGMIC_3,China:Yanbian,Rhabdoviridae sp.,field -- flagging at various sites,non-human,2019,FALSE,FALSE,Haemaphysalis japonica,Insect,"Yanbian, China",TRUE,ai,TRUE,FALSE,,
GU117623.1,TRUE,Dyopipapillomavirus,,United Kingdom,Phocoena phocoena papillomavirus 4,frozen biopsy of genital papilloma from male porpoise,non-human,01-Jan-1998,FALSE,FALSE,Phocoena phocoena,Mammal,United Kingdom,FALSE,ai,TRUE,FALSE,,
MZ773935.1,TRUE,Dichorhavirus,CiBSV_BR_SC_Ser01,"Brazil: Santa Catarina, Seara",Citrus bright spot virus,fruits; leaves,non-human,2018,FALSE,FALSE,Citrus sinensis,Plant,"Seara, Brazil",FALSE,ai,TRUE,TRUE,RNA1,
MN812704.1,TRUE,Orthoreovirus,AMCR/USA/WV/71/03,USA: West Virginia,Corvid orthoreovirus,gastrointestinal tract,non-human,2003,FALSE,FALSE,Corvus brachyrhynchos,Avian,"West Virginia, USA",TRUE,ai,TRUE,TRUE,S3,
MN812702.1,TRUE,Orthoreovirus,AMCR/USA/WV/71/03,USA: West Virginia,Corvid orthoreovirus,gastrointestinal tract,non-human,2003,FALSE,FALSE,Corvus brachyrhynchos,Avian,"West Virginia, USA",FALSE,ai,TRUE,TRUE,S1,
MN812700.1,TRUE,Orthoreovirus,AMCR/USA/WV/71/03,USA: West Virginia,Corvid orthoreovirus,gastrointestinal tract,non-human,2003,FALSE,FALSE,Corvus brachyrhynchos,Avian,"West Virginia, USA",FALSE,ai,TRUE,TRUE,M2,
MF168407.1,TRUE,Aviadenovirus,JM1/1,Japan: Kagoshima,Fowl aviadenovirus A,gizzard erosion from slaughter house,non-human,Nov-2000,TRUE,FALSE,Gallus gallus,Avian,"Kagoshima, Japan",FALSE,ai,TRUE,FALSE,,
NC_077081.1,TRUE,Densovirinae,BatDV/WD,USA,Bat associated densovirus,guano samples,non-human,Jun-2020,FALSE,FALSE,Arthropoda,Insect,USA,FALSE,ai,TRUE,FALSE,,
ON783660.1,TRUE,Cypovirus,AaCPV4,India,Antheraea assamensis cypovirus 4,Gut tissue,non-human,Oct-2018,FALSE,FALSE,Antheraea assamensis,Insect,,FALSE,ai,TRUE,TRUE,4,
ON783664.1,TRUE,Cypovirus,AaCPV4,India,Antheraea assamensis cypovirus 4,Gut tissue,non-human,Oct-2018,FALSE,FALSE,Antheraea assamensis,Insect,India,FALSE,ai,TRUE,TRUE,8,
ON408163.1,TRUE,Rhabdoviridae,NE-TH2,"China: Tahe, Heilongjiang",Tahe rhabdovirus 1,Haemaphysalis conicinna WZD NE-TH2,non-human,25-Jun-2021,FALSE,FALSE,Unknown,Other,"Tahe, China",TRUE,ai,TRUE,FALSE,,
ON408166.1,TRUE,Rhabdoviridae,NE-DH1,"China: Dunhua, Jilin",Tahe rhabdovirus 1,Haemaphysalis japonica WZD NE-DH1,non-human,05-May-2020,FALSE,FALSE,Haemaphysalis japonica,Other,"Dunhua, China",TRUE,ai,TRUE,FALSE,,
KJ501306.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6452/2002,USA,West Nile virus,heart,non-human,2002,TRUE,FALSE,Buteo jamaicensis,Avian,USA,TRUE,ai,TRUE,FALSE,,
MN488836.1,TRUE,Rhadinovirus,RRVmmu 209-07,USA,Macacine gammaherpesvirus 5,hemangioma,non-human,21-Feb-2012,FALSE,FALSE,Macaca mulatta,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
OQ001241.1,TRUE,Orbivirus,CRT48-Kaz-2021,"Kazakhstan: Tole Bi distr., Turkestan oblast",Bluetongue virus 9,insect homogenate,non-human,14-Jul-2021,TRUE,FALSE,Hippobosca equina,Insect,"Tole Bi distr., Kazakhstan",FALSE,ai,TRUE,TRUE,8,
MN657184.1,TRUE,Gammapolyomavirus,14525,Hungary,Gammapolyomavirus avis,internal organ,non-human,2011,FALSE,FALSE,Psittacula krameri,Avian,Hungary,TRUE,ai,TRUE,FALSE,,
NC_077757.1,TRUE,Orthoreovirus,Pycno-1,Japan:Wakayama,Avian orthoreovirus,intestine of a dead bird,non-human,2011-02,FALSE,FALSE,Hypsipetes amaurotis,Avian,"Wakayama, Japan",TRUE,ai,TRUE,TRUE,M1,
OL439497.1,TRUE,Polyomaviridae,KY187,Kenya: Kajiado,Lemniscomys striatus polyomavirus 1,kidney,non-human,23-Mar-2019,FALSE,FALSE,Lemniscomys striatus,Mammal,"Kajiado, Kenya",FALSE,ai,TRUE,FALSE,,
MN265364.1,TRUE,Chaphamaparvovirus,Cc_AM_T3,Costa Rica,Capuchin kidney parvovirus,kidney,non-human,,FALSE,FALSE,Cebus capucinus imitator,Mammal,Costa Rica,FALSE,ai,TRUE,FALSE,,
NC_025896.1,TRUE,Betapolyomavirus,VMK96,Zambia:Mfuwe,Betapolyomavirus secuchlopygerythrus,kidney,non-human,2009-11-02,FALSE,FALSE,Chlorocebus pygerythrus,Mammal,"Mfuwe, Zambia",FALSE,ai,TRUE,FALSE,,
AB767299.2,TRUE,Betapolyomavirus,VMK96,Zambia:Mfuwe,Betapolyomavirus secuchlopygerythrus,kidney,non-human,2009-11-02,FALSE,FALSE,Chlorocebus pygerythrus,Mammal,"Mfuwe, Zambia",TRUE,ai,TRUE,FALSE,,
OQ420631.1,TRUE,Hamaparvovirinae,CHPV_R02,Brazil,Molossus molossus chaphamaparvovirus,kidney,non-human,2016,FALSE,FALSE,Molossus molossus,Mammal,"Unknown, Brazil",FALSE,ai,TRUE,FALSE,,
KX533457.1,TRUE,Betapolyomavirus,WSK37,Antarctica: Ross ice shelf,Betapolyomavirus lepweddellii,kidney,non-human,2014,FALSE,FALSE,Leptonychotes weddellii,Mammal,"Antarctica, Antarctica",FALSE,ai,TRUE,FALSE,,
HM585353.1,TRUE,Siadenovirus,T03,Antarctica,South Polar skua adenovirus 1,kidney,non-human,09-Feb-2008,FALSE,FALSE,Stercorarius maccormicki,Avian,Antarctica,FALSE,ai,TRUE,FALSE,,
KJ501296.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6433/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Pica pica,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501384.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6635/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Cyanocitta cristata,Avian,,TRUE,ai,TRUE,FALSE,,
KJ501488.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6499/2003,USA,West Nile virus,kidney and spleen,non-human,2003,TRUE,FALSE,Pelecanus erythrorhynchos,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501368.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6573/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Corvus brachyrhynchos,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501493.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6526/2001,USA,West Nile virus,kidney and spleen,non-human,2001,TRUE,FALSE,Mimus,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501273.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6389/2003,USA,West Nile virus,kidney and spleen,non-human,2003,TRUE,FALSE,Cyanocitta cristata,Avian,,TRUE,ai,TRUE,FALSE,,
KJ501441.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6213/2008,USA,West Nile virus,kidney and spleen,non-human,2008,FALSE,FALSE,Buteo regalis,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501337.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6518/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Corvus brachyrhynchos,Avian,"null, USA",TRUE,ai,TRUE,FALSE,,
KJ501442.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6371/2010,USA,West Nile virus,kidney and spleen,non-human,2010,TRUE,FALSE,Haliaeetus leucocephalus,Avian,"USA, USA",TRUE,ai,TRUE,FALSE,,
KJ501510.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6612/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Cyanocitta cristata,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501300.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6443/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Cyanocitta cristata,Avian,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
KJ501302.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6445/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Quiscalus quiscula,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501387.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6642/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Cyanocitta cristata,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501282.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6406/2001,USA,West Nile virus,kidney and spleen,non-human,2001,TRUE,FALSE,Bubo virginianus,Avian,"null, USA",TRUE,ai,TRUE,FALSE,,
KJ501293.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6427/2003,USA,West Nile virus,kidney and spleen,non-human,2003,TRUE,FALSE,Falco sparverius,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501290.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6423/2002,USA,West Nile virus,kidney and spleen,non-human,2002,TRUE,FALSE,Corvus brachyrhynchos,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501494.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6528/2001,USA,West Nile virus,kidney and spleen,non-human,2001,TRUE,FALSE,Corvus brachyrhynchos,Avian,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
KJ501405.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6665/2006,USA,West Nile virus,"kidney, spleen, feather pulp, and brain",non-human,2006,TRUE,FALSE,Pelecanus erythrorhynchos,Avian,"null, USA",TRUE,ai,TRUE,FALSE,,
MN442538.1,TRUE,Aphthovirus,SAT1-KNP/196/91-Parental,South Africa,Foot-and-mouth disease virus SAT 1,KNP/196/91 passage PK = 1 / IB-RS = 4 / Bovine = 1 / BHK = 5,non-human,1991,TRUE,FALSE,Syncerus caffer,Mammal,South Africa,TRUE,ai,TRUE,FALSE,,
MN524064.1,TRUE,Cyprivirus A,CZAR/ZfPV/2018/Utah/USA,USA,Zebrafish picornavirus 1,larvae,non-human,2018,FALSE,FALSE,Danio rerio,Fish,USA,FALSE,ai,TRUE,FALSE,,
MG210945.1,TRUE,Orthoflavivirus,KEM-118,Hungary,Tick-borne encephalitis virus,larvae (vegetation),non-human,Aug-2011,FALSE,FALSE,Ixodes ricinus,Insect,Hungary,TRUE,ai,TRUE,FALSE,,
MG948563.1,TRUE,Betanucleorhabdovirus,Stadl-Paura HZ10-01,Austria,alfalfa-associated nucleorhabdovirus,leaf,non-human,01-May-2010,FALSE,FALSE,Nicotiana benthamiana,Plant,"Unknown, Austria",FALSE,ai,TRUE,FALSE,,
OQ318170.1,TRUE,Alphanucleorhabdovirus,6166618,Netherlands,Physostegia chlorotic mottle virus,leaves,non-human,,FALSE,FALSE,Anthriscus sylvestris,Plant,"Unknown, Netherlands",FALSE,ai,TRUE,FALSE,,
OM523357.1,TRUE,Cytorhabdovirus,B42,Czech Republic: Olomouc,Sambucus cytorhabdovirus,leaves,non-human,2021,FALSE,FALSE,Sambucus nigra,Plant,"Olomouc, Czech Republic",FALSE,ai,TRUE,FALSE,,
NC_030445.1,TRUE,Metahepadnavirus,,USA,Bluegill hepatitis B virus,lip,non-human,09-Sep-2009,FALSE,FALSE,Lepomis macrochirus,Fish,,FALSE,ai,TRUE,FALSE,,
MG600411.1,TRUE,Hepadnaviridae,05VZ-90-Bat033,Viet Nam,Bat hepadnavirus,liver,non-human,31-May-2015,FALSE,FALSE,Hipposideros pomona,Mammal,", Viet Nam",TRUE,ai,TRUE,FALSE,,
KM019545.1,TRUE,Orthoflavivirus,Tomsk-PT122,Russia: Tomsk region,Tick-borne encephalitis virus,liver,non-human,15-Jul-2006,TRUE,FALSE,Acrocephalus dumetorum,Avian,"Tomsk region, Russia",TRUE,ai,TRUE,FALSE,,
ON391059.1,TRUE,Hepacivirus,RPHV-WZS3-2020,China: Hainan,Rhizomys pruinosus hepacivirus,liver,non-human,2020,FALSE,FALSE,Rhizomys pruinosus,Mammal,"Hainan, China",TRUE,ai,TRUE,FALSE,,
OM920502.1,TRUE,Chaphamaparvovirus,AU/VIC/PV5,Australia,Chaphamaparvovirus galliform5,liver,non-human,03-Mar-2021,FALSE,FALSE,Gallus gallus,Avian,Australia,FALSE,ai,TRUE,FALSE,,
OM920503.1,TRUE,Chaphamaparvovirus,AU/VIC/PV6,Australia,Galliform chaphamaparvovirus 6,liver,non-human,03-Mar-2021,FALSE,FALSE,Gallus gallus,Avian,"Unknown, Australia",FALSE,ai,TRUE,FALSE,,
NC_075452.1,TRUE,Aviadenovirus,18VIR149_ITA_2018,Italy,Psittacine adenovirus 1,liver,non-human,05-Jan-2018,FALSE,FALSE,Poicephalus senegalus,Avian,Italy,FALSE,ai,TRUE,FALSE,,
MF370541.1,TRUE,Orthoflavivirus,PR5908-BeAn844641,Brazil,Yellow fever virus,liver,non-human,28-Feb-2017,FALSE,FALSE,Alouatta sp.,Mammal,Brazil,TRUE,ai,TRUE,FALSE,,
NC_020881.1,TRUE,Orthohepadnavirus,776,Myanmar,Long-fingered bat hepatitis B virus,liver,non-human,Nov-2008,FALSE,FALSE,Miniopterus fuliginosus,Mammal,Myanmar,TRUE,ai,TRUE,FALSE,,
ON745304.1,TRUE,Avastrovirus,ZJCX,China,Goose astrovirus,liver,non-human,15-Jun-2021,FALSE,FALSE,Anser anser,Avian,,FALSE,ai,TRUE,FALSE,,
GU452537.1,TRUE,Gammapolyomavirus,WF-GM01,China,Gammapolyomavirus avis,liver,non-human,,FALSE,FALSE,Melopsittacus undulatus,Avian,"Unknown, China",FALSE,ai,TRUE,FALSE,,
MZ244222.1,TRUE,Orthohepadnavirus,cxx17,China,Hepatitis B virus,liver,non-human,,FALSE,FALSE,Chimaera sp.,Fish,"Unknown, China",TRUE,ai,TRUE,FALSE,,
MF370535.1,TRUE,Orthoflavivirus,PR5818-BeAn841176,Brazil,Yellow fever virus,liver,non-human,30-Aug-2016,FALSE,FALSE,Alouatta sp.,Mammal,Brazil,TRUE,ai,TRUE,FALSE,,
OM920501.1,TRUE,Chaphamaparvovirus,AU/VIC/PV4,Australia,Chaphamaparvovirus galliform4,liver,non-human,03-Mar-2021,FALSE,FALSE,Gallus gallus,Avian,Australia,FALSE,ai,TRUE,FALSE,,
KF939649.1,TRUE,Orthohepadnavirus,PEPR7,China: Yunnan,Pomona bat hepatitis B virus,liver,non-human,Jun-2011,FALSE,FALSE,Hipposideros pomona,Mammal,"Yunnan, China",TRUE,ai,TRUE,FALSE,,
OP684796.1,TRUE,Simplexvirus,D22-002229,USA,Macropodid alphaherpesvirus 2,liver,non-human,Jan-2022,FALSE,FALSE,Chironectes minimus,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
NC_038503.1,TRUE,Orthohepadnavirus,PEPR7,China: Yunnan,Pomona bat hepatitis B virus,liver,non-human,Jun-2011,FALSE,FALSE,Hipposideros pomona,Mammal,"Yunnan, China",TRUE,ai,TRUE,FALSE,,
KX577802.1,TRUE,Aviadenovirus,CS15-4016,Australia,psittacine adenovirus 4,liver tissue,non-human,2015,FALSE,FALSE,Poicephalus rufiventris,Avian,"Unknown, Australia",TRUE,ai,TRUE,FALSE,,
MH410610.1,TRUE,Avastrovirus,AHDY,China: Anhui province,Goose astrovirus,"liver, spleen, kidney",non-human,Aug-2017,FALSE,FALSE,Anser anser,Avian,"Anhui province, China",TRUE,ai,TRUE,FALSE,,
OR351273.1,TRUE,Avastrovirus,JS202103,China,Chicken astrovirus,LMH cells,non-human,2021,TRUE,FALSE,Gallus gallus,Avian,,TRUE,ai,TRUE,FALSE,,
MH595621.1,TRUE,Dichorhavirus,Trs4,Brazil: Teresina/Piaui,Citrus chlorotic spot virus,local lesions on symptomatic leaves,non-human,2018,FALSE,FALSE,Agave sp.,Plant,"Teresina, Brazil",FALSE,ai,TRUE,TRUE,RNA1,
KX982176.1,TRUE,Dichorhavirus,ibi1,Brazil: Ibiuna,Citrus leprosis virus N,local lesions on symptomatic leaves,non-human,Oct-2015,FALSE,FALSE,Citrus sinensis,Plant,"Ibiuna, Brazil",FALSE,ai,TRUE,TRUE,RNA1,
MG983789.1,TRUE,Dichorhavirus,SBO1,"Brazil: Santa Barbara d'Oeste, Sao Paulo",Clerodendrum chlorotic spot virus,local lesions on symptomatic leaves,non-human,2017,FALSE,FALSE,Hibiscus rosa-sinensis,Plant,"Santa Barbara d'Oeste, Sao Paulo, Brazil",FALSE,ai,TRUE,TRUE,RNA2,
OP289523.1,TRUE,Atadenovirus,20-5607,Canada,Deer atadenovirus A,lung tissue,non-human,11-Sep-2020,FALSE,FALSE,Odocoileus hemionus columbianus,Mammal,Canada,TRUE,ai,TRUE,FALSE,,
ON125125.1,TRUE,Picornaviridae,P_11,USA: Florida,Freshwater macrophyte associated picorna-like virus 15,macrophytes collected in freshwater springs,non-human,Jul-2017,FALSE,FALSE,,Plant,"Florida, USA",FALSE,ai,TRUE,FALSE,,
ON125133.1,TRUE,Picornaviridae,P_6,USA: Florida,Freshwater macrophyte associated picorna-like virus 8,macrophytes collected in freshwater springs,non-human,Jul-2017,FALSE,FALSE,,Plant,"Florida, USA",FALSE,ai,TRUE,FALSE,,
AB839746.1,TRUE,Novirhabdovirus,SE-SVA-14-5G,Sweden: Kattegatt,Viral hemorrhagic septicemia virus,marine cultured rainbow trout,non-human,1998,TRUE,FALSE,Oncorhynchus mykiss,Fish,"Kattegatt, Sweden",FALSE,ai,TRUE,FALSE,,
OK337614.1,TRUE,Gammaherpesvirinae,S338D,,Saguinine gammaherpesvirus 1,Marmoset kidney TC,non-human,1971,TRUE,FALSE,Saguinus,Mammal,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
MZ570862.1,TRUE,Papillomaviridae,c6033,"USA: Bethesda, Maryland",Papillomaviridae sp. Haddock_c6033,Melanogrammus aeglefinus purchased from fish truck,non-human,Oct-2016,FALSE,FALSE,Melanogrammus aeglefinus,Fish,"Bethesda, USA",FALSE,ai,TRUE,FALSE,,
OR829953.2,TRUE,Cypovirus,AaCPV4-1,India,Cypovirus 4,midgut,non-human,Aug-2021,FALSE,FALSE,Antheraea assamensis,Insect,India,FALSE,ai,TRUE,TRUE,1,
OR829960.2,TRUE,Cypovirus,AaCPV4-1,India,Cypovirus 4,midgut,non-human,Aug-2021,FALSE,FALSE,Antheraea assamensis,Insect,India,FALSE,ai,TRUE,TRUE,8,
MF423374.2,TRUE,Orthoflavivirus,PA196,"Brazil: Paraju, Domingos Martins - ES",Yellow fever virus,mosquitoes pool,non-human,23-Feb-2017,FALSE,FALSE,Haemagogus janthinomys,Insect,"Paraju, Domingos Martins - ES, Brazil",TRUE,ai,TRUE,FALSE,,
NC_079051.1,TRUE,Rhabdoviridae,237-k141_63393,China: Xinjiang,Xinjiang varicosa-like virus,mountain,non-human,2017-08-27,FALSE,FALSE,,Other,"Xinjiang, China",FALSE,ai,TRUE,TRUE,1,
EF469662.1,TRUE,Orthoflavivirus,886-84,Russia: Irkutsk region,Tick-borne encephalitis virus,mouse brain tissue lysate,non-human,1984,FALSE,FALSE,Clethrionomys rufocanus,Mammal,"Irkutsk region, Russia",TRUE,ai,TRUE,FALSE,,
NC_031751.1,TRUE,Amdoparvovirus,amdo-CA1,USA,Amdoparvovirus sp.,multiple tissues,non-human,01-Jun-2015,FALSE,FALSE,Ailurus fulgens,Mammal,USA,FALSE,ai,TRUE,FALSE,,
MF327537.1,TRUE,Dyonupapillomavirus,gpam003,China,Ailuropoda melanoleuca papillomavirus 4,nasopharyngeal secretion,non-human,2015,FALSE,FALSE,Ailuropoda melanoleuca,Mammal,China,FALSE,ai,TRUE,FALSE,,
KJ501437.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V7286/2012,USA,West Nile virus,oral swab,non-human,2012,FALSE,FALSE,Corvus brachyrhynchos,Avian,USA,TRUE,ai,TRUE,FALSE,,
NC_026470.1,TRUE,Mischivirus,PREDICT-06105,Democratic Republic of the Congo,mischivirus C1,oral swab,non-human,2013,FALSE,FALSE,Hipposideros gigas,Mammal,Democratic Republic of the Congo,TRUE,ai,TRUE,FALSE,,
NC_076027.1,TRUE,Alphapolyomavirus,,China,Tree shrew polyomavirus 1,oral swabs,non-human,10-Jul-2016,FALSE,FALSE,Tupaia chinensis,Mammal,China,FALSE,ai,TRUE,FALSE,,
MK443498.1,TRUE,Alphapolyomavirus,,China,Tree shrew polyomavirus 1,oral swabs,non-human,10-Jul-2016,FALSE,FALSE,Tupaia chinensis,Mammal,"Unknown, China",TRUE,ai,TRUE,FALSE,,
MN313233.1,TRUE,Orthoreovirus,IBD26/00,Germany,Reptilian orthoreovirus,organ mix,non-human,2000,FALSE,FALSE,Boa constrictor,Reptile,"Germany, Germany",FALSE,ai,TRUE,TRUE,M3,
MN313228.1,TRUE,Orthoreovirus,IBD26/00,Germany,Reptilian orthoreovirus,organ mix,non-human,2000,FALSE,FALSE,Boa constrictor,Reptile,Germany,FALSE,ai,TRUE,TRUE,L1,
MN313214.1,TRUE,Orthoreovirus,55/02,Germany,Reptilian orthoreovirus,organ mix,non-human,2002,FALSE,FALSE,Morelia spilota,Reptile,Germany,FALSE,ai,TRUE,TRUE,S1,
KY986581.1,TRUE,Gammapolyomavirus,37273,Germany,Serinus canaria polyomavirus,organ pool,non-human,2015,FALSE,FALSE,Serinus canaria,Avian,"null, Germany",FALSE,ai,TRUE,FALSE,,
MN451694.1,TRUE,Protoparvovirus,RDPV123,Finland,Canine parvovirus,original fecal or intestinal material,non-human,1980,FALSE,FALSE,Nyctereutes procyonoides,Mammal,"null, Finland",TRUE,ai,TRUE,FALSE,,
MW574348.1,TRUE,Novirhabdovirus,Coho salmon/Washington/20-036527/2020,"USA: WA, Big Quilcene River",Viral hemorrhagic septicemia virus,ovarian fluid,non-human,06-Oct-2020,FALSE,FALSE,Oncorhynchus kisutch,Fish,"WA, USA",FALSE,ai,TRUE,FALSE,,
MN727393.1,TRUE,Dependoparvovirus,VR-865,USA,Dependoparvovirus avian1,pancreas,non-human,1994,FALSE,FALSE,Gallus gallus domesticus,Avian,USA,FALSE,ai,TRUE,FALSE,,
JF303889.1,TRUE,Kappapapillomavirus,Hershey,USA: Kansas,Kappapapillomavirus 2,papilloma,non-human,,FALSE,FALSE,Sylvilagus floridanus,Mammal,"Kansas, USA",FALSE,ai,TRUE,FALSE,,
DQ180494.1,TRUE,Lambdapapillomavirus,,USA,Uncia uncia papillomavirus 1,papillomatous lesion on the lower lip,non-human,,FALSE,FALSE,Uncia uncia,Mammal,,TRUE,ai,TRUE,FALSE,,
KF360862.1,TRUE,Gammapolyomavirus,AWH19840,Australia,Butcherbird polyomavirus,periocular skin; proliferative lesions consistent with Avipoxvirus infection,non-human,12-Jul-2009,FALSE,FALSE,Cracticus torquatus,Avian,"Australia, Australia",FALSE,ai,TRUE,FALSE,,
MN188074.1,TRUE,Pestivirus,PI285,USA,Bovine viral diarrhea virus 1,PI calf,non-human,2017,FALSE,FALSE,Bos taurus,Mammal,,TRUE,ai,TRUE,FALSE,,
